Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method,block_timestamp,Date,Open,High,Low,Close,Volume,Market Cap
0xc9d1b1219633fd20f23233470fb72485ae3ed869516ca28e15e504bd6d69f212,8251810,1564487711,2019-07-30 11:55:11,0x0000000000000000000000000000000000000000,0xa0b83e91c62289516b20167888752e19557ed683,"1,000,000,000",0x60806040,1564437600,None,None,None,None,None,None,
0x048a4101a5faa7dbd75e5c08e357c843e10facd1fe8bababb1fa585446acfbf7,8251920,1564489408,2019-07-30 12:23:28,0xa0b83e91c62289516b20167888752e19557ed683,0xf32682d5f99ba4143532618d6f516859a055ea06,"1,000,000",Transfer,1564437600,None,None,None,None,None,None,
0x3773de3ff9e8a7601b728abb5a5f8382277d89f9ff555b760ee5f840d696e2a8,8251932,1564489621,2019-07-30 12:27:01,0xa0b83e91c62289516b20167888752e19557ed683,0x06fed18718975d9e178e0c0fea35c18eac794c3f,"998,999,999",Transfer,1564437600,None,None,None,None,None,None,
0x5d4231d042c6533ed0a59ae975476f25058283092813a011fb4451ac4425e17e,8350013,1565803952,2019-08-14 17:32:32,0xf32682d5f99ba4143532618d6f516859a055ea06,0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,10,Transfer,1565733600,None,None,None,None,None,None,
0x1b15f81194d80389821ad32998b8de1e8a99a966d08567c99b1575411ba03740,8350019,1565804060,2019-08-14 17:34:20,0xf32682d5f99ba4143532618d6f516859a055ea06,0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,10,Transfer,1565733600,None,None,None,None,None,None,
0x06df014d8bf481f4451461025f18fe6582137c357661b3d0615abf5c1fff1bdd,8350067,1565804659,2019-08-14 17:44:19,0xf32682d5f99ba4143532618d6f516859a055ea06,0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,"24,403.14901304",Transfer,1565733600,None,None,None,None,None,None,
0xa0e01e3f9ba655fd944a8d3bf174d2cee11f3475e6fd00ae30367d0678bc777d,8350141,1565805705,2019-08-14 18:01:45,0xf32682d5f99ba4143532618d6f516859a055ea06,0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,420.23840179,Transfer,1565733600,None,None,None,None,None,None,
0x60e328d5edcb5b1d2dcaa224dd41e4468ab67b7bb9dcaa202d904c97391a840b,8350271,1565807469,2019-08-14 18:31:09,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0xf32682d5f99ba4143532618d6f516859a055ea06,"2,000,000",Transfer,1565733600,None,None,None,None,None,None,
0x6d0911a067b3d72041ea91a1c4251dfeec9e6746a7d12da2538ff5dd1f1c2ea1,8374451,1566132264,2019-08-18 12:44:24,0xf32682d5f99ba4143532618d6f516859a055ea06,0xa849c67a0bcc281c26975ef9e6e7a73388be0f65,100,Transfer,1566079200,None,None,None,None,None,None,
0x76cfe2607526b67b1d56e4e0744bebe32347091e8304d47aeb0a4e0b0bfcf912,8407666,1566578719,2019-08-23 16:45:19,0xf32682d5f99ba4143532618d6f516859a055ea06,0xa849c67a0bcc281c26975ef9e6e7a73388be0f65,200,Transfer,1566511200,None,None,None,None,None,None,
