address,in_degree,out_degree,total_degree
0x0000000000000000000000000000000000000000,4,1,5
0xa0b83e91c62289516b20167888752e19557ed683,2,3,5
0xf32682d5f99ba4143532618d6f516859a055ea06,90,218,308
0x06fed18718975d9e178e0c0fea35c18eac794c3f,4,11,15
0xefa9aa1f0b80f8df420204fdf8541e3012d576fd,1,1,2
0x6c0fc6d1b1d09d6f4725a06c999d3a7f1d39ce1f,1,1,2
0xdeb257ebd3e0f2140b9bd8630d36a0af249cc4f4,1,1,2
0xd6619c3fdc8745c4efc0b6c0e0d1691ec9a2ec56,1,1,2
0x2d1fd0d691982756ba8fd3f9290d3fd4d7a22855,1,1,2
0x4dff716ea8a4eb70012fedb7c9974e846ef0450b,1,1,2
0xb1af6aa1ae960d01ac9727521dadee8c145aace5,1,1,2
0xa6c7b2447eb648560e9fa5333a04028818ed3601,1,1,2
0x96cc5af178da3b38703ee0a72b3d0d2d70631fd4,1,1,2
0xe35117e4512ec9ab1e2d35551dd8f6ab74e82ab6,1,1,2
0x31e9ff01765ee59fb72fa120bd9d6c1b1dee8844,1,1,2
0xfb3d4e5de6a93194fdd6622de05e3b860c0c6b52,1,1,2
0xbab1d062df737bed1ede71ef66f056577755469f,1,1,2
0x1d0fc2d8a3b406c67b1db9279d878d1d33581252,1,1,2
0x9b53723ef104396f1f44a378a84a15067e11e166,1,1,2
0x1a4c49cd84e5de48d4a167dd804ceabd64d2dda9,1,1,2
0xa0754b7a37ba4f9f7961c707bdbea8ea5d669287,1,1,2
0xd5395907e610b385cc735b47367b4572011c57e3,1,1,2
0x8506e73e760f331b8f7ab86c9d4e40b35f11ddff,1,1,2
0xce1d448fcb80d5794747fc11933bff2672881bfe,1,1,2
0x8b6d357aaf989ac321adcb2a86094eb37a18f855,1,1,2
0xc6404f24db2f573f07f3a60758765caad198c0c3,1,1,2
0xadf6afa5b0ad3fed0c74db3c74a78c903fe488db,1,2,3
0x62dce9c8e951d48632b1d84f7a33602019f20fbd,1,1,2
0x0b0fdd3195865900fe0586a2dbb82a0cae243bdb,1,1,2
0xe6e0c23a41b1d21fa84ea41b9a32667c3d875070,1,1,2
0x4c40c64510b40face1de92a2f6495d52b0f98695,1,1,2
0x293fce268ca6f3708d1bd86a34e49de260592ef1,1,1,2
0xfcac8d500afa7454b4ed9610c99b5976eaf9ff77,1,1,2
0x93f6272c6c01dcb4cf7acddd3d3e7f44ea1d2977,1,1,2
0xd24c941f5edbe451395544658c0df6df056c6ad0,1,1,2
0xa49006ee64b9cd689088d991f6bdedc7ea866dcb,1,1,2
0x56b56c35500e58bc83b312f79f02251f5242fc77,1,1,2
0xa849c67a0bcc281c26975ef9e6e7a73388be0f65,2,1,3
0xfd71d217a5a94f4f8cd5f6cb0a708126cd626b26,1,1,2
0xa33eceaf3e42fd9f946a10237378e60b36af60fd,1,2,3
0x1398bd0e6f24f16ab623510fe11f83c5f275dbec,1,1,2
0xed1a543c8411981db030fb740bdf37acf4c9f188,1,1,2
0x495066bdc4346da31823083763dc0afd358a44b8,1,1,2
0x20519479aecf40c6e048203a150f5aa914ad2a60,1,1,2
0xc37854375710c30d5502d532ee06499c044c4bcd,1,1,2
0x546326f7f90d1f9fcd558414bbd07aef9af2a114,1,1,2
0x8d1da4f93c95da0c66cfd21773d6d01504a09124,1,1,2
0x2c44955fde89d56aa4258c114a0b7ad00d2fc827,1,1,2
0x04e638fb781fe9b9179333c2201c5b6914da1a28,1,1,2
0xf8df6c8def724b0ee0adcb709b8d924f511616ee,1,1,2
0xcde62db316303312a55f6c2aa6f6f7b924ac18d4,1,1,2
0xda1001941bcb25693a48a62deb2d971fecae8305,1,1,2
0x86ccf0491ff9cb7dee93b5061a946ec714407fb8,2,2,4
0xe81413b4e1dbb71793a2159127e91814b743803e,1,1,2
0x2455baf27fba3ed94286dbb0691398aacaf03811,1,1,2
0xd51775e48e6854e9f65e1ab5443ea3f7a4716ff8,1,1,2
0x3908065422c829f32c2fcded83377717a7ce9314,1,1,2
0x42340dd22083988509e53b000d935ce393d9920b,1,1,2
0x6446afb003e8f24be24babdceca89ad944b294e4,1,1,2
0x669e66109eaf970c962bcad052fef29016a46aa1,1,1,2
0x33c2a64713222fa8c9dee0ff1b66a6cee653f6ed,1,1,2
0x2f9c2e74732373ad3c58077ce865dd01f89516fc,1,1,2
0x52e3729ccbd7b9af95075eabae64fadd81f29ba0,2,1,3
0xcc4b406a67eefbfd90cc758a76abd780398b0b42,1,1,2
0x1bcb94a1d12064c50a7296fbd762cc86e4cf9f73,2,1,3
0xde63c3ab7f58dc5611f64b2aebe1b471b798af36,1,1,2
0xc45def7fe61191678e0cedff0648bed4e3aef586,1,1,2
0xf6f09f82ff1b416f84dd0bf9acbd0515d05e5f4f,1,3,4
0x06d736403c38684c367812e33fd5df0cc7f1b1e3,1,1,2
0x8005c62a766e66795b5de4a18266e8e3fbada3f9,1,1,2
0x1a04e66dff3182677753845e8662b2004a981213,1,1,2
0xacd0b2b5b77fa448d38227f1ccef52f4b1c83ddf,1,1,2
0x9cb580bfbc94856bcb41b567cc3228f6c24e86bc,1,1,2
0xf6dbbf619c2a3b6de9d5215e026cd55cf0f4d292,1,1,2
0x480c6e509c42d320a48be164ebb89283563e3302,1,1,2
0xe94b4f5653a047903770ec3bb955668fe0e7a391,1,1,2
0x1e63befb810bdda624f2e4ca18d4d2e52b666e92,1,1,2
0x05cdb10a43b289073f1a871dc121981c64207ccc,1,1,2
0x3ac82a251934d4c62aa6be36be6f3b8ff7959e5c,1,1,2
0xf7b64b214e37e64f26da754a18b7a3039a22d2c7,1,1,2
0xb5e78f6dddbfca1b2e6a35f7f9b8c3cf9a47a5c7,1,1,2
0x17e0f77415c38b3875bf059eaf1cba76538905d2,2,1,3
0x978b1e2cd793d5389db72527d4368df45f36fcbc,1,1,2
0x5e878bd819fa12c3900483fab96008f5dbd77b90,1,2,3
0x010d409811ef495aac1f4e5b5a09bb093ab25519,4,0,4
0xb111aac0cf0cbea836e600b7c18a31ad32447589,2,1,3
0x3ffbe4f9ad223b3c3a00e881984b5d5750b9775f,1,1,2
0x1422486242bd338aedc1248a20142786d585874c,1,1,2
0x1e8835047cb834e87704109d3daff78ccd2be40c,1,1,2
0x5753a70b44848dde5b9478d2fc33e911add1976c,1,1,2
0x64906debedd1c82136f8e5f825bcd9a364dfd93c,1,1,2
0xdf32d70e4baef70ffd70b69dfd7ad0109c65a690,1,1,2
0xe37e6b49a455daa232b36e2864ed74594704202e,1,1,2
0xa59c6775aa36726d353f815df998e5385524bfff,1,1,2
0x968ab9731bb35c5a1bc601eaf135619d139ecfd5,1,1,2
0x2f05d94c6d16ec7562169387415b6c480b1ac212,2,0,2
0xe8b19b92b9634a391b7857d6a47a9afafe6b2a0d,1,1,2
0x79856319271bada6c69988fbf54ca02a5584672b,1,1,2
0xbb54a96d894c5d3f342e1e605f2af955b28fa003,1,3,4
0x0aa602857bf7d8e2e9ed5f7ef1e5ac13444f754b,1,1,2
0x7e2ae23c15b98745385c2cf82aa9f9105b1c6d6a,1,1,2
0xcf8449dd9b5c7dff0bdb518b185f6ed688c04fbe,1,1,2
0x7c397c25306b73504d31a1592c43605bf51aad24,1,1,2
0xd774afe66646dcdc1fdecbb24a341049a8bda4a7,1,1,2
0x46345c55b4a3f34b4e4a4c9c261d922806ddba97,1,1,2
0xcf6fc74a0ffb25a93cf4aae5a26cf2c32adaa763,1,1,2
0xd1eb1d9d0493f3c643f2b49f430a734ad149df28,1,1,2
0x1174a80a03b55ccc99b3eb4ffb0d6edc59a39805,2,1,3
0xba30ea8d55de7a43862b23e09a57ac89a8bbe41a,1,1,2
0x4042c142c1d352740d40fa352886efa0df2dd75d,1,1,2
0xec26ce07ac23e79dacb0cdd1bed9f4e424b215cd,2,0,2
0x4b587113d591418998c1254d25c9100f8ded84a2,1,1,2
0x4ffe4311d1bc9d15862be75e2df8fc49a9bf1392,1,1,2
0x32b921ffec7cc60aca13f83f11732084eddc0a9d,1,1,2
0xe15d368c93940f11cd5894046e33c4ee778c5d68,1,1,2
0x95e02bffa66aa6b82c7f676b3dfe72a6a5a6d323,2,2,4
0x184d722738a34e727ba1e44c520861761d0f8fe5,1,1,2
0xbbf08abe100499c3e7c8b86e08c69c1fb2f6667a,1,1,2
0xb2ef019244176eadf3e6c089159e723d0bc8cb47,1,1,2
0xc900e727a5327a719d5e4f7a54d068ffa278cede,1,1,2
0x93963c32d0f4d25bedd90191c24673bfcb346ba5,1,1,2
0xde139b9986c48dee611c74a9331f5cb6f66fdb5a,1,1,2
0xb31763897d4ea872a1506c175065d963b60b5673,2,0,2
0xa8a88765bc4aac1cd51e40dcd259d0a8f5c420d7,2,2,4
0xfdc34f61ccc6e5cbf8d168614ab29bae624085c9,1,3,4
0xb033106df5bb71a3b74f2e4651a5fb2111f2bdd6,1,1,2
