"HolderAddress","Balance","PendingBalanceUpdate"
"0xbb54a96d894c5d3f342e1e605f2af955b28fa003","343,953,651.26891","No"
"0x06fed18718975d9e178e0c0fea35c18eac794c3f","323,223,315.17000582","No"
"0xcdbf58a9a9b54a2c43800c50c7192946de858321","105,867,371","No"
"0x1d2a9df4e0d5f0493daeda94f589f00697c40f9d","3,893,989.54267809","No"
"0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac","3,100,162","No"
"0xb0485c670b9463531d7731ff282976b546b631b7","2,090,000","No"
"0x010d409811ef495aac1f4e5b5a09bb093ab25519","1,405,897.60236622","No"
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819","500,000","No"
"0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec","351,925.96349668","No"
"0xf6f09f82ff1b416f84dd0bf9acbd0515d05e5f4f","250,041.42857142","No"
"0x74dec05e5b894b0efec69cdf6316971802a2f9a1","211,837.99448589","No"
"0xff00708139f92035a90faaf595534d0874fc87af","201,942.77598764","No"
"0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","130,796.96756968","No"
"0x742d35cc6634c0532925a3b844bc454e4438f44e","130,217.30937","No"
"0xa12431d0b9db640034b0cdfceef9cce161e62be4","82,128.96752668","No"
"0x024844984357118fede04bdf36ef058629c0ca70","55,000","No"
"0xb51ad361357176bb5ef1a2c315f407f0d881aede","53,817.7264348","No"
"0x4f30be41b60e34c242c0b776ea4995478cadbf9b","53,189.81","No"
"0x80b709d106d870920c988d96489036300b158c4e","51,149.29319846","No"
"0x550ba4242526f3309ab8a54141a7df0c7fc58e64","45,989.83955531","No"
"0xdb27f9120af34678bcbd6611e442d7290085be1c","43,119.9874356","No"
"0x947eec2667bd62689b9b0f09d911900449139e79","40,716.78336755","No"
"0x49cd9ed978b2a2b9719425280b5f994beeaeacd6","38,965.9377","No"
"0x5e878bd819fa12c3900483fab96008f5dbd77b90","35,000.90947603","No"
"0x7d62da26ce174d119305d39d13c8fc782215e2d1","33,429.4630225","No"
"0xe2ec247d9630d6cb4ced5211bbd9deca24ee7b3c","30,025.33665093","No"
"0x08bda5a8904d3b60f804becda6f553192def685e","25,329.22620898","No"
"0xfe8fac0a80ed67d0c98f303259d543ba213ab996","20,981.5633671","No"
"0x3851d758780ff8a802fb0d4b1530ad2155c75d29","20,010","No"
"0x9b716dfe04b00631f41add5c3d880b8e4922ac21","19,760.7321","No"
"0x26abd2065b1d8d2074fcc6be6952a1a39cb75c58","15,344.24454852","No"
"0x0805a81eff58c3e2f3043bb89d3035d1837f93c9","14,098.0081061","No"
"0xb59733085c33a8962e3b00f0f3d2c91cee2917dd","12,336.35618979","No"
"0xeb2609ab5ca27dbca7f05d271bc539357c77f8c9","11,729.43230008","No"
"0x48f1524b68a343e7a47d32e784c8655f30683edd","11,181.98112879","No"
"0x1a4c49cd84e5de48d4a167dd804ceabd64d2dda9","10,100.44214668","No"
"0x04e638fb781fe9b9179333c2201c5b6914da1a28","9,900","No"
"0x98217b74846a84e98e515a536ded3f0d89d1ff97","9,186.02997942","No"
"0x6b82694f6b9254da8cdb11be621f30e04dab0fd2","8,770.62687033","No"
"0xa81011ae274ef6debd3bdab634102c7b6c2c452d","8,277.95070801","No"
"0xaceb7f033c95485b97f8b9c87164d86e39e8004b","8,275.3627","No"
"0x389863d378c25d1ecef6ad6e93535015f0b5fd03","8,221.71433332","No"
"0xf9fc75295578964d06ed43dc77f53fb86a296b9d","8,045.48573407","No"
"0xc6c11609faadabcd955664478381290e6f180266","7,688.59785286","No"
"0x9e9f3e7024d4eabf56a2013717251c804ceae10a","7,676.61959613","No"
"0x5e70828a8e7594846b65ef03d9aa69df39158390","7,506.56206745","No"
"0xd2d62d8e377ff3007fe29ff4ddaa2250ceada282","7,464.68959701","No"
"0x0947aa4073cb46c30c3445a1d3ff3b4a6033e3d8","7,227.78635855","No"
"0x0f76f4ad3d6a63fd024091749c42523dfe74f1bf","7,110.32003648","No"
"0x29b08c4edd0e0ccb1afe8565e8ce97e5864a65b8","7,061.50311927","No"
"0xa44e254dff6f45180b4c94aec3cc0b02f3126813","6,997.19238633","No"
"0x625533ba8c4a32542710537eca38cbe3b83d5852","6,741","No"
"0x17e5aae56d0650144376926489c2928c9615dcde","6,731.35866935","No"
"0x3d6ed5ceed5a3313351a45aefb420666e70eaf27","6,712.86669942","No"
"0xeab6c55a0f70e6af6acec9d5bdfa59c0dd701cf7","6,151","No"
"0x0dc1dddd66c8eb52e1e2d4da50aec476310d0665","6,007.78783418","No"
"0x735398a1f82bb6790498ec27b86e11e7defe1eb1","5,959.55228029","No"
"0x88a52dd54d5bbfc72e5e4e0a2d6a324fde97e4ed","5,728.76322239","No"
"0xc49f120525e24e2c495bebeb14e5d0600beae42a","5,578.41980172","No"
"0x4c45b70dd51253cafc1048858ca01df613ea9738","5,297.70879112","No"
"0xc2e644ffb7a4c24b50a2f3db8a5f354ff792db81","5,000","No"
"0xae13c2019268f08ca394e438954ecece00920a62","4,995.83891835","No"
"0xbc32a4eda188598861b8699b1813b057716da3ea","4,983.55271345","No"
"0x18c5f405d8bc13c74fa420eeba989b2aa007648e","4,980.27409464","No"
"0xb20007a1694e273d5842989b92128284c53b3be7","4,903.05461442","No"
"0xe669ae0e2eaf2c315a7ee729fd3eaaaa27ebef95","4,890.2560117","No"
"0xbdff1d2b176fc43805ffa681ead64ca0edaf83c3","4,707.67386986","No"
